Generated by http://statistics.gov.scot,2020-12-07T13:26:05+00:00
http://statistics.gov.scot/data/age-at-first-birth,Age of First Time Mothers
Reference Period,2000/01-2002/03
Age,19 years and under
Measure (cell values): ,"Count(First Time Mothers), Ratio(Percent Of First Time Mothers)"

,,http://statistics.gov.scot/def/measure-properties/count,http://statistics.gov.scot/def/measure-properties/ratio
http://statistics.gov.scot/id/statistical-geography/S13002833,Bishopbriggs South,15,9.43
http://statistics.gov.scot/id/statistical-geography/S13002759,"Bishopton, Bridge of Weir & Langbank",13,10.92
http://statistics.gov.scot/id/statistical-geography/S13002671,Black Isle,7,7.61
http://statistics.gov.scot/id/statistical-geography/S13002740,Blairgowrie and Glens,26,22.41
http://statistics.gov.scot/id/statistical-geography/S13002801,Blantyre,53,20.78
http://statistics.gov.scot/id/statistical-geography/S13002609,Bo'ness and Blackness,31,15.98
http://statistics.gov.scot/id/statistical-geography/S13002613,Bonnybridge and Larbert,18,10.53
http://statistics.gov.scot/id/statistical-geography/S13002691,Bonnyrigg,24,11.37
http://statistics.gov.scot/id/statistical-geography/S13002802,Bothwell and Uddingston,14,9.52
http://statistics.gov.scot/id/statistical-geography/S13002509,Brechin and Edzell,20,17.86
http://statistics.gov.scot/id/statistical-geography/S13002477,Bridge of Don,27,9.54
http://statistics.gov.scot/id/statistical-geography/S13002821,"Broxburn, Uphall and Winchburgh",37,14.98
http://statistics.gov.scot/id/statistical-geography/S13002640,"Buckhaven, Methil and Wemyss Villages",79,27.43
http://statistics.gov.scot/id/statistical-geography/S13002698,Buckie,16,15.09
http://statistics.gov.scot/id/statistical-geography/S13002627,"Burntisland, Kinghorn and Western Kirkcaldy",21,12.8
http://statistics.gov.scot/id/statistical-geography/S13002582,"Busby, Clarkston and Eaglesham",8,4.23
http://statistics.gov.scot/id/statistical-geography/S13002649,Calton,105,28.07
http://statistics.gov.scot/id/statistical-geography/S13002800,Cambuslang East,32,13.11
http://statistics.gov.scot/id/statistical-geography/S13002799,Cambuslang West,23,11.22
http://statistics.gov.scot/id/statistical-geography/S13002565,Campsie and Kirkintilloch North,11,7.19
http://statistics.gov.scot/id/statistical-geography/S13002656,Canal,110,25.64
http://statistics.gov.scot/id/statistical-geography/S13002673,Caol and Mallaig,17,15.89
http://statistics.gov.scot/id/statistical-geography/S13002512,Carnoustie and District,10,9.9
http://statistics.gov.scot/id/statistical-geography/S13002738,Carse of Gowrie,1,1.03
http://statistics.gov.scot/id/statistical-geography/S13002612,"Carse, Kinnaird and Tryst",30,10.99
http://statistics.gov.scot/id/statistical-geography/S13002810,Castle,43,26.54
http://statistics.gov.scot/id/statistical-geography/S13002536,Castle Douglas and Glenkens,14,14.29
http://statistics.gov.scot/id/statistical-geography/S13002492,Central Buchan,12,7.84
http://statistics.gov.scot/id/statistical-geography/S13002593,City Centre,15,4.97
http://statistics.gov.scot/id/statistical-geography/S13002529,Clackmannanshire Central,23,19.01
http://statistics.gov.scot/id/statistical-geography/S13002531,Clackmannanshire East,10,14.49
http://statistics.gov.scot/id/statistical-geography/S13002528,Clackmannanshire North,28,17.5
http://statistics.gov.scot/id/statistical-geography/S13002530,Clackmannanshire South,41,23.3
http://statistics.gov.scot/id/statistical-geography/S13002527,Clackmannanshire West,37,26.81
http://statistics.gov.scot/id/statistical-geography/S13002818,Clydebank Central,38,25.33
http://statistics.gov.scot/id/statistical-geography/S13002819,Clydebank Waterfront,42,16.28
http://statistics.gov.scot/id/statistical-geography/S13002789,Clydesdale East,11,7.69
http://statistics.gov.scot/id/statistical-geography/S13002788,Clydesdale North,21,12.8
http://statistics.gov.scot/id/statistical-geography/S13002790,Clydesdale South,42,21.88
http://statistics.gov.scot/id/statistical-geography/S13002787,Clydesdale West,21,10.14
http://statistics.gov.scot/id/statistical-geography/S13002717,Coatbridge North and Glenboig,43,16.41
http://statistics.gov.scot/id/statistical-geography/S13002721,Coatbridge South,52,21.76
http://statistics.gov.scot/id/statistical-geography/S13002720,Coatbridge West,55,20.3
http://statistics.gov.scot/id/statistical-geography/S13002548,Coldside,73,25.26
http://statistics.gov.scot/id/statistical-geography/S13002590,Colinton / Fairmilehead,37,11.04
http://statistics.gov.scot/id/statistical-geography/S13002588,Corstorphine / Murrayfield,6,2.06
http://statistics.gov.scot/id/statistical-geography/S13002521,Cowal,4,7.69
http://statistics.gov.scot/id/statistical-geography/S13002625,Cowdenbeath,46,21.8
http://statistics.gov.scot/id/statistical-geography/S13002596,Craigentinny / Duddingston,24,7.48
http://statistics.gov.scot/id/statistical-geography/S13002644,Craigton,79,23.72
http://statistics.gov.scot/id/statistical-geography/S13002668,Cromarty Firth,49,28
http://statistics.gov.scot/id/statistical-geography/S13002679,Culloden and Ardersier,20,12.9
http://statistics.gov.scot/id/statistical-geography/S13002713,Cumbernauld North,15,4.79
http://statistics.gov.scot/id/statistical-geography/S13002714,Cumbernauld South,44,16.86
http://statistics.gov.scot/id/statistical-geography/S13002560,Cumnock and New Cumnock,43,23.37
http://statistics.gov.scot/id/statistical-geography/S13002638,Cupar,14,8.64
http://statistics.gov.scot/id/statistical-geography/S13002692,Dalkeith,28,19.72
http://statistics.gov.scot/id/statistical-geography/S13002709,Dalry and West Kilbride,27,18
http://statistics.gov.scot/id/statistical-geography/S13002535,Dee,16,18.18
http://statistics.gov.scot/id/statistical-geography/S13002611,Denny and Banknock,31,13.08
http://statistics.gov.scot/id/statistical-geography/S13002670,Dingwall and Seaforth,27,17.88
http://statistics.gov.scot/id/statistical-geography/S13002561,Doon Valley,44,30.34
http://statistics.gov.scot/id/statistical-geography/S13002585,Drum Brae / Gyle,25,9.54
http://statistics.gov.scot/id/statistical-geography/S13002654,Drumchapel / Anniesland,109,30.53
http://statistics.gov.scot/id/statistical-geography/S13002816,Dumbarton,34,15.25
http://statistics.gov.scot/id/statistical-geography/S13002576,Dunbar and East Linton,14,10.37
http://statistics.gov.scot/id/statistical-geography/S13002809,Dunblane and Bridge of Allan,7,4.29
http://statistics.gov.scot/id/statistical-geography/S13002620,Dunfermline Central,31,12.5
http://statistics.gov.scot/id/statistical-geography/S13002619,Dunfermline North,23,11.5
http://statistics.gov.scot/id/statistical-geography/S13002621,Dunfermline South,58,20.64
http://statistics.gov.scot/id/statistical-geography/S13002522,Dunoon,23,31.08
http://statistics.gov.scot/id/statistical-geography/S13002476,Dyce / Bucksburn / Danestone,17,8.9
http://statistics.gov.scot/id/statistical-geography/S13002767,East Berwickshire,18,18
http://statistics.gov.scot/id/statistical-geography/S13002658,East Centre,104,24.36
http://statistics.gov.scot/id/statistical-geography/S13002551,East End,72,36
http://statistics.gov.scot/id/statistical-geography/S13002500,East Garioch,5,3.55
http://statistics.gov.scot/id/statistical-geography/S13002794,East Kilbride Central North,21,8.97
http://statistics.gov.scot/id/statistical-geography/S13002793,East Kilbride Central South,25,14.12
http://statistics.gov.scot/id/statistical-geography/S13002796,East Kilbride East,22,12.36
http://statistics.gov.scot/id/statistical-geography/S13002792,East Kilbride South,45,21.84
http://statistics.gov.scot/id/statistical-geography/S13002795,East Kilbride West,12,6.22
http://statistics.gov.scot/id/statistical-geography/S13002824,East Livingston and East Calder,62,18.45
http://statistics.gov.scot/id/statistical-geography/S13002736,"East Mainland, South Ronaldsay and Burray",2,7.69
http://statistics.gov.scot/id/statistical-geography/S13002637,East Neuk and Landward,15,11.45
http://statistics.gov.scot/id/statistical-geography/S13002666,East Sutherland and Edderton,11,17.46
http://statistics.gov.scot/id/statistical-geography/S13002672,Eilean a' Chèo,16,17.02
http://statistics.gov.scot/id/statistical-geography/S13002701,Elgin City North,34,19.21
http://statistics.gov.scot/id/statistical-geography/S13002702,Elgin City South,21,13.73
http://statistics.gov.scot/id/statistical-geography/S13002497,Ellon and District,7,4.52
http://statistics.gov.scot/id/statistical-geography/S13002760,Erskine & Inchinnan,19,7.92
http://statistics.gov.scot/id/statistical-geography/S13002573,Fa'side,25,12.95
http://statistics.gov.scot/id/statistical-geography/S13002614,Falkirk North,53,18.93
http://statistics.gov.scot/id/statistical-geography/S13002615,Falkirk South,48,15.58
http://statistics.gov.scot/id/statistical-geography/S13002825,Fauldhouse and the Breich Valley,57,22.53
http://statistics.gov.scot/id/statistical-geography/S13002699,Fochabers Lhanbryde,22,19.47
http://statistics.gov.scot/id/statistical-geography/S13002510,Forfar and District,32,18.39
http://statistics.gov.scot/id/statistical-geography/S13002703,Forres,15,7.94
http://statistics.gov.scot/id/statistical-geography/S13002683,Fort William and Ardnamurchan,21,16.03
http://statistics.gov.scot/id/statistical-geography/S13002586,Forth,126,28.44
http://statistics.gov.scot/id/statistical-geography/S13002808,Forth and Endrick,3,2.61
http://statistics.gov.scot/id/statistical-geography/S13002723,Fortissat,43,23.89
http://statistics.gov.scot/id/statistical-geography/S13002591,Fountainbridge / Craiglockhart,15,4.57
http://statistics.gov.scot/id/statistical-geography/S13002491,Fraserburgh and District,35,16.75
http://statistics.gov.scot/id/statistical-geography/S13002763,Galashiels and District,33,15.94
http://statistics.gov.scot/id/statistical-geography/S13002653,Garscadden / Scotstounhill,74,20.27
http://statistics.gov.scot/id/statistical-geography/S13002483,George St / Harbour,36,17.82
http://statistics.gov.scot/id/statistical-geography/S13002579,Giffnock and Thornliebank,7,4.35
http://statistics.gov.scot/id/statistical-geography/S13002786,Girvan and South Carrick,24,21.62
http://statistics.gov.scot/id/statistical-geography/S13002633,Glenrothes Central and Thornton,40,20.3
http://statistics.gov.scot/id/statistical-geography/S13002632,"Glenrothes North, Leslie and Markinch",61,23.11
http://statistics.gov.scot/id/statistical-geography/S13002631,Glenrothes West and Kinglassie,61,22.51
http://statistics.gov.scot/id/statistical-geography/S13002645,Govan,114,21.15
http://statistics.gov.scot/id/statistical-geography/S13002610,Grangemouth,58,21.32
http://statistics.gov.scot/id/statistical-geography/S13002643,Greater Pollok,115,22.03
http://statistics.gov.scot/id/statistical-geography/S13002575,Haddington and Lammermuir,25,16.89
http://statistics.gov.scot/id/statistical-geography/S13002803,Hamilton North and East,23,12.23
http://statistics.gov.scot/id/statistical-geography/S13002805,Hamilton South,48,18.05
http://statistics.gov.scot/id/statistical-geography/S13002804,Hamilton West and Earnock,47,16.49
http://statistics.gov.scot/id/statistical-geography/S13002770,Hawick and Denholm,23,25
http://statistics.gov.scot/id/statistical-geography/S13002771,Hawick and Hermitage,17,16.67
http://statistics.gov.scot/id/statistical-geography/S13002485,Hazlehead / Ashley / Queens Cross,7,2.57
http://statistics.gov.scot/id/statistical-geography/S13002700,Heldon and Laich,23,12.57
http://statistics.gov.scot/id/statistical-geography/S13002525,Helensburgh Central,11,9.4
http://statistics.gov.scot/id/statistical-geography/S13002526,Helensburgh and Lomond South,5,6.41
http://statistics.gov.scot/id/statistical-geography/S13002741,Highland,2,2.94
http://statistics.gov.scot/id/statistical-geography/S13002651,Hillhead,23,6.23
http://statistics.gov.scot/id/statistical-geography/S13002480,Hilton / Woodside / Stockethill,38,17.04
http://statistics.gov.scot/id/statistical-geography/S13002758,"Houston, Crosslee & Linwood",35,15.42
http://statistics.gov.scot/id/statistical-geography/S13002634,Howe of Fife and Tay Coast,19,10.61
http://statistics.gov.scot/id/statistical-geography/S13002502,"Huntly, Strathbogie and Howe of Alford",10,6.21
http://statistics.gov.scot/id/statistical-geography/S13002684,Inverclyde East,70,30.3
http://statistics.gov.scot/id/statistical-geography/S13002685,Inverclyde East Central,60,26.32
http://statistics.gov.scot/id/statistical-geography/S13002686,Inverclyde North,27,15.08
http://statistics.gov.scot/id/statistical-geography/S13002687,Inverclyde South,53,26.37
http://statistics.gov.scot/id/statistical-geography/S13002689,Inverclyde South West,46,30.07
http://statistics.gov.scot/id/statistical-geography/S13002688,Inverclyde West,10,8.77
http://statistics.gov.scot/id/statistical-geography/S13002623,Inverkeithing and Dalgety Bay,30,10.75
http://statistics.gov.scot/id/statistical-geography/S13002587,Inverleith,15,3.6
http://statistics.gov.scot/id/statistical-geography/S13002676,Inverness Central,60,30.61
http://statistics.gov.scot/id/statistical-geography/S13002678,Inverness Millburn,30,20.98
http://statistics.gov.scot/id/statistical-geography/S13002677,Inverness Ness-Side,18,11.76
http://statistics.gov.scot/id/statistical-geography/S13002681,Inverness South,5,4.55
http://statistics.gov.scot/id/statistical-geography/S13002675,Inverness West,19,15.45
http://statistics.gov.scot/id/statistical-geography/S13002499,Inverurie and District,16,9.94
http://statistics.gov.scot/id/statistical-geography/S13002705,Irvine East,49,18.7
http://statistics.gov.scot/id/statistical-geography/S13002558,Irvine Valley,25,14.37
http://statistics.gov.scot/id/statistical-geography/S13002704,Irvine West,73,26.94
http://statistics.gov.scot/id/statistical-geography/S13002523,Isle of Bute,11,16.92
http://statistics.gov.scot/id/statistical-geography/S13002769,Jedburgh and District,6,7.41
http://statistics.gov.scot/id/statistical-geography/S13002757,"Johnstone North, Kilbarchan & Lochwinnoch",42,21.21
http://statistics.gov.scot/id/statistical-geography/S13002756,"Johnstone South, Elderslie & Howwood",64,25.81
http://statistics.gov.scot/id/statistical-geography/S13002697,Keith and Cullen,20,18.35
http://statistics.gov.scot/id/statistical-geography/S13002768,Kelso and District,7,7.69
http://statistics.gov.scot/id/statistical-geography/S13002710,Kilbirnie and Beith,41,22.04
http://statistics.gov.scot/id/statistical-geography/S13002556,Kilmarnock East and Hurlford,40,20.62
http://statistics.gov.scot/id/statistical-geography/S13002554,Kilmarnock North,44,18.64
http://statistics.gov.scot/id/statistical-geography/S13002557,Kilmarnock South,45,26.01
http://statistics.gov.scot/id/statistical-geography/S13002555,Kilmarnock West and Crosshouse,23,13.07
http://statistics.gov.scot/id/statistical-geography/S13002817,Kilpatrick,36,23.38
http://statistics.gov.scot/id/statistical-geography/S13002712,Kilsyth,23,15.86
http://statistics.gov.scot/id/statistical-geography/S13002706,Kilwinning,48,17.78
http://statistics.gov.scot/id/statistical-geography/S13002488,Kincorth / Nigg / Cove,27,10.11
